t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
1.260000000000000009e-01,6.715260487340282136e-01,2.291616040097145035e+00,-1.738262568885514670e+00,-5.640376637325694720e-01,-7.793379741999700849e-01,1.545670694436637627e+00,3.820222616081767053e-01,1.319626291552526143e-01,-2.524465265653232482e+00,2.247720967097500466e+00,-1.898909299259591066e+00,-3.362821396115451833e-01,6.638820720327991420e-01,-1.434106227909710718e+01,-7.219263335710595975e+00,-2.352227008623996252e+00,-6.519960805545844951e-02,1.000022744023710067e-02
1.280000000000000027e-01,6.722854000231314187e-01,2.291863382860522602e+00,-1.743294338373211794e+00,-5.595412475354530901e-01,-7.831087839393673367e-01,1.545001277818452534e+00,3.843601219874290820e-01,1.406283319383954122e-01,-2.532638414747872879e+00,2.246461024485013613e+00,-1.912463057938652788e+00,-3.378234437285683178e-01,6.427835675560671369e-01,-1.411080025637098245e+01,-7.089607553774802007e+00,-2.305077062884932193e+00,-6.562466331129382380e-02,9.907498826414078488e-03
1.300000000000000044e-01,6.730496533695816685e-01,2.292127657867731649e+00,-1.748344391800135567e+00,-5.550451074045459343e-01,-7.869077088207706572e-01,1.544328547970357013e+00,3.865815453824906767e-01,1.494993801632318875e-01,-2.539814760461377663e+00,2.244046767725404123e+00,-1.925498452456791743e+00,-3.392461063996705106e-01,6.217027115455736608e-01,-1.387791623600307389e+01,-6.959484132865022765e+00,-2.257806601688106429e+00,-6.575679332510445119e-02,9.804420534517880800e-03
1.320000000000000062e-01,6.738185758994035268e-01,2.292409275809697000e+00,-1.753410735559431277e+00,-5.505515519680966863e-01,-7.907337121158379833e-01,1.543652742175126047e+00,3.886865317960816468e-01,1.585757738128218131e-01,-2.545994302828861855e+00,2.240478196798787458e+00,-1.938015482821705104e+00,-3.405501275773429315e-01,6.006436984773224630e-01,-1.364242723355661191e+01,-6.828898996282858569e+00,-2.210426685411888137e+00,-6.559141977556157133e-02,9.690855293315626950e-03
1.340000000000000080e-01,6.745919347386321041e-01,2.292708647377285303e+00,-1.758491376044376775e+00,-5.460628898544194199e-01,-7.945857570962564509e-01,1.542974097715702264e+00,3.906750812309935372e-01,1.678575128687258833e-01,-2.551177041882989105e+00,2.235755311681181468e+00,-1.950014149040728562e+00,-3.417355072108283487e-01,5.796104115733425877e-01,-1.340435651084935742e+01,-6.697859017996923292e+00,-2.162948669261200330e+00,-6.512469322081479439e-02,9.566690757038609841e-03
1.360000000000000098e-01,6.753694970133027331e-01,2.293026183261353879e+00,-1.763584319648264787e+00,-5.415814296918358695e-01,-7.984628070337160821e-01,1.542292851875047610e+00,3.925471936900264414e-01,1.773445973123124186e-01,-2.555362977656103318e+00,2.229878112348079089e+00,-1.961494451121146954e+00,-3.428022452489532523e-01,5.586066928757700278e-01,-1.316372812267235837e+01,-6.566371192046467797e+00,-2.115383944882777367e+00,-6.435285773122859099e-02,9.431817771527455097e-03
1.380000000000000115e-01,6.761510298494567417e-01,2.293362294152724079e+00,-1.768687572764455318e+00,-5.371094801087179516e-01,-8.023638251999222204e-01,1.541609241936229502e+00,3.943028691760206983e-01,1.870370271240118232e-01,-2.558552110178859973e+00,2.222846598772709736e+00,-1.972456389069989990e+00,-3.437503416385599975e-01,5.376360837066750387e-01,-1.292056938163746693e+01,-6.434442956939482983e+00,-2.067743975698347558e+00,-6.327261892342708749e-02,9.286142448982362407e-03
1.400000000000000133e-01,6.769363003731458939e-01,2.293717390742151085e+00,-1.773799141786421396e+00,-5.326493497335227367e-01,-8.062877748666056332e-01,1.540923505182493214e+00,3.959421076918853144e-01,1.969348022826267752e-01,-2.560744439478977785e+00,2.214660770924367306e+00,-1.982899962893841961e+00,-3.445797963230484151e-01,5.167016035806099028e-01,-1.267491325330611573e+01,-6.302082522423230415e+00,-2.020040349673145830e+00,-6.188148328612530502e-02,9.129597391692088199e-03
1.420000000000000151e-01,6.777250757104221757e-01,2.294091883720383418e+00,-1.778917033107647372e+00,-5.282033471947170655e-01,-8.102336193054996416e-01,1.540235878897103783e+00,3.974649092405370676e-01,2.070379227667755728e-01,-2.561939965583845957e+00,2.205320628771910041e+00,-1.992825172599234529e+00,-3.452906092454295361e-01,4.958062111499815239e-01,-1.242679332961979455e+01,-6.169298182625411187e+00,-1.972284666863581615e+00,-6.017704781879997661e-02,8.962118186086982449e-03
1.440000000000000169e-01,6.785171229873443455e-01,2.294486183778120747e+00,-1.784039253121679103e+00,-5.237737811208375005e-01,-8.142003217883518884e-01,1.539546600363454365e+00,3.988712738249362566e-01,2.173463885538909901e-01,-2.562138688518884155e+00,2.194826172281749255e+00,-2.002232018192355856e+00,-3.458827803462762307e-01,4.749523887601220795e-01,-1.217624657219629647e+01,-6.036098632886658599e+00,-1.924488508746838411e+00,-5.815748301584808960e-02,8.783658864126931212e-03
1.459999999999999909e-01,6.793122093299812647e-01,2.294900701605993021e+00,-1.789163808222155483e+00,-5.193629601405245211e-01,-8.181868455869326651e-01,1.538855906865128187e+00,4.001612014481092383e-01,2.278601996196358559e-01,-2.561340608306573507e+00,2.183177401416651175e+00,-2.011120499678876516e+00,-3.463563095625221133e-01,4.541419078160461309e-01,-1.192331497226324899e+01,-5.902493167401713592e+00,-1.876663429068572642e+00,-5.582181537545553851e-02,8.594200989738759455e-03
1.479999999999999927e-01,6.801101018644024609e-01,2.295335847894620862e+00,-1.794288704802721846e+00,-5.149731928824291538e-01,-8.221921539730141504e-01,1.538164035685727349e+00,4.013346921130886424e-01,2.385793559394894237e-01,-2.559545724969102043e+00,2.170374316139013882e+00,-2.019490617064415350e+00,-3.467111968307252656e-01,4.333764638545525294e-01,-1.166804102166928381e+01,-5.768491138247323846e+00,-1.828820976099836182e+00,-5.316915953846334392e-02,8.393728947904645007e-03
1.499999999999999944e-01,6.809105677166847892e-01,2.295792033334567162e+00,-1.799411949257080146e+00,-5.106067879752949068e-01,-8.262152102183819569e-01,1.537471224109010048e+00,4.023917458229543942e-01,2.495038574874355042e-01,-2.556754038526757533e+00,2.156416916408660622e+00,-2.027342370354145995e+00,-3.469474420844605445e-01,4.126570750925128706e-01,-1.141047062969786374e+01,-5.634102238765046344e+00,-1.780972575977804784e+00,-5.019932366673248575e-02,8.182248900271475028e-03
1.519999999999999962e-01,6.817133740129152075e-01,2.296269668616315318e+00,-1.804531547979002504e+00,-5.062660540479836380e-01,-8.302549775948397937e-01,1.536777709418934990e+00,4.033323625808475921e-01,2.606337042355341138e-01,-2.552965548997379042e+00,2.141305202182097744e+00,-2.034675759552675878e+00,-3.470650452534643771e-01,3.919838882484502074e-01,-1.115065410279941638e+01,-5.499336601397216917e+00,-1.733129497691653809e+00,-4.691300826619702186e-02,7.959795028224731991e-03
1.539999999999999980e-01,6.825182878791806740e-01,2.296769164430341625e+00,-1.809645507362266370e+00,-5.019532997293694176e-01,-8.343104193741928132e-01,1.536083728899480194e+00,4.041565423899151077e-01,2.719688961556513962e-01,-2.548180256398594246e+00,2.125039173415518512e+00,-2.041490784664552027e+00,-3.470640062670906634e-01,3.713569605419226316e-01,-1.088864215845874917e+01,-5.364204397039912031e+00,-1.685302991505803982e+00,-4.331100184927720587e-02,7.726404257576658004e-03
1.559999999999999998e-01,6.833250764415775835e-01,2.297290931467046882e+00,-1.814751833800696934e+00,-4.976708336484428896e-01,-8.383804988282589354e-01,1.535389519834812422e+00,4.048642852533539949e-01,2.835094332177732768e-01,-2.542398160746640379e+00,2.107618830062414794e+00,-2.047787445693779684e+00,-3.469443250510557131e-01,3.507754505356186492e-01,-1.062448891317360733e+01,-5.228716063421814830e+00,-1.637504073208277955e+00,-3.939491133142998536e-02,7.482138680297005517e-03
