t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
3.739999999999999991e-01,7.495973886458430213e-01,2.671937003851593939e+00,-2.061385324427345456e+00,-6.874666708975383234e-01,-1.337675098944452801e+00,1.454907784637257340e+00,2.808870149198366417e-01,2.901256778473952025e+00,6.842321810933340576e-01,-1.770156703360124872e+00,-4.061601323192728930e-01,1.588820202911410018e+00,-1.610496497646649150e+00,5.907158574475920076e+00,4.904723099976957990e+00,9.254400345857003440e-01,-8.239083138461887890e-01,3.435943954079832829e-02
3.760000000000000009e-01,7.501690990186646868e-01,2.677616634385009853e+00,-2.060241819084609904e+00,-6.909185832989119813e-01,-1.338604668269546938e+00,1.457835377878463401e+00,2.775672080353080440e-01,2.941976764501199160e+00,7.596101650281723572e-01,-1.798446987656723506e+00,-3.676360901861239205e-01,1.673833682512397614e+00,-1.644620857103575418e+00,-4.436656777242058425e+00,2.969718694538585058e-01,-3.281717593048932291e-01,-8.053959156501259153e-01,6.355982040454012660e-02
3.780000000000000027e-01,7.507344905979571603e-01,2.683372772362126568e+00,-2.058959556962115744e+00,-6.944333846327720439e-01,-1.339458143123753109e+00,1.460921071783630065e+00,2.742409303482767347e-01,2.978439111995998534e+00,8.296841448944868302e-01,-1.832228576838067280e+00,-3.292062481693768805e-01,1.762541597880765476e+00,-1.625846385268824967e+00,-1.633316471866657693e+01,-5.060956151959106641e+00,-1.775127314655838617e+00,-7.542462011767145924e-01,9.625253628872090794e-02
3.800000000000000044e-01,7.512932974720279988e-01,2.689210979981659033e+00,-2.057526186455254980e+00,-6.980036776633530282e-01,-1.340234643623530175e+00,1.464172795293598561e+00,2.710006658898065912e-01,3.005232829608191381e+00,8.858626254327311988e-01,-1.878491700029874867e+00,-2.912546541580381954e-01,1.854749649192380279e+00,-1.542616462077361916e+00,-2.720028173814831263e+01,-1.003254742308143577e+01,-3.107121336172637083e+00,-6.739432251592051282e-01,1.256648987567341724e-01
3.820000000000000062e-01,7.518452563033499736e-01,2.695136680051396283e+00,-2.055929586707021084e+00,-7.016222482334899535e-01,-1.340933300850944532e+00,1.467598471807678662e+00,2.679386752899893254e-01,3.016989876241145119e+00,9.195964278575603501e-01,-1.944178859449579910e+00,-2.541641711545255533e-01,1.950260978873113560e+00,-1.383521666844214515e+00,-3.447034276365828731e+01,-1.348753068226622176e+01,-4.017557101562434063e+00,-5.679893777691868983e-01,1.450629247263776067e-01
3.840000000000000080e-01,7.523903615124047928e-01,2.701141337802798859e+00,-2.054180742218008948e+00,-7.053002143226330123e-01,-1.341554343903030855e+00,1.471205469837172153e+00,2.651248494583796078e-01,3.012642931430173476e+00,9.265736320430107975e-01,-2.031453537813942223e+00,-2.181990163843828268e-01,2.048622615187216667e+00,-1.151892035788447011e+00,-3.701943859573923135e+01,-1.492069035850756187e+01,-4.370921748492024861e+00,-4.417230243235929499e-01,1.515882989541584291e-01
3.860000000000000098e-01,7.529290815568203676e-01,2.707190749392281326e+00,-2.052333130049436072e+00,-7.090824081439586202e-01,-1.342100021212265792e+00,1.475000137410917178e+00,2.625879396380324526e-01,2.999034036484171661e+00,9.102749681032585860e-01,-2.133690227019646724e+00,-1.834052082054485333e-01,2.148910572414786113e+00,-8.781646197383189412e-01,-3.637884005850712299e+01,-1.497633720650346589e+01,-4.346339020408035658e+00,-3.038590320967203273e-01,1.495103626230247507e-01
3.880000000000000115e-01,7.534619358247510723e-01,2.713247953092181142e+00,-2.050444792661011650e+00,-7.130172841661494010e-01,-1.342572798168421899e+00,1.478988712917168824e+00,2.603522770283882570e-01,2.983855014126943317e+00,8.750184080863367964e-01,-2.243319130249771476e+00,-1.498053217006377891e-01,2.250150259118118168e+00,-5.956888457526549052e-01,-3.436509037881241113e+01,-1.442228702920805183e+01,-4.156737201210905397e+00,-1.634750395564063541e-01,1.438642519492497607e-01
3.900000000000000133e-01,7.539894438121539366e-01,2.719276077857109897e+00,-2.048573713056472734e+00,-7.171532047265964938e-01,-1.342975139101704851e+00,1.483177422882520524e+00,2.584420599660328666e-01,2.974781712631977104e+00,8.251168877434738036e-01,-2.352784843895205924e+00,-1.174212754670014291e-01,2.351368936946836907e+00,-3.377600852034647883e-01,-3.279033989980722197e+01,-1.402447660525229267e+01,-4.014523203678738383e+00,-2.964411021673959978e-02,1.396718860479699287e-01
3.920000000000000151e-01,7.545121447640048551e-01,2.725254865242015434e+00,-2.046766982162887771e+00,-7.215216541085255342e-01,-1.343309314234276242e+00,1.487570320828333292e+00,2.568571468873528940e-01,2.976563530077307007e+00,7.639607150368852295e-01,-2.457168737756329602e+00,-8.615472273103845502e-02,2.451933345133003428e+00,-1.277709414697697499e-01,-3.266198167362574623e+01,-1.420461358545497887e+01,-4.036591006299334872e+00,8.939880414483579452e-02,1.395338682799488472e-01
3.940000000000000169e-01,7.550306205526683412e-01,2.731199914369021542e+00,-2.045048180838894947e+00,-7.261176860575778713e-01,-1.343577174814623687e+00,1.492166769939748283e+00,2.555448596246717163e-01,2.987633250505148830e+00,6.929487464252017670e-01,-2.557243541067388382e+00,-5.564772920642058890e-02,2.551942970339467376e+00,3.226067123894339750e-02,-3.325037553455812400e+01,-1.464140218813058247e+01,-4.133674119742734909e+00,1.872277790726105118e-01,1.408244984443946246e-01
3.960000000000000187e-01,7.555454586021936869e-01,2.737131494359987371e+00,-2.043437828050705285e+00,-7.309316096974273202e-01,-1.343780517525152263e+00,1.496965522544267513e+00,2.544456777745874865e-01,3.005600997966855203e+00,6.132204767111970600e-01,-2.654523211460202425e+00,-2.550855257933547227e-02,2.651592730419162880e+00,1.431006246936469828e-01,-3.359965446133311673e+01,-1.491677972553783249e+01,-4.189656231718558388e+00,2.576524932982041105e-01,1.402374156549312245e-01
3.980000000000000204e-01,7.560572463366297402e-01,2.743069874336772962e+00,-2.041956442764529811e+00,-7.359537341517471409e-01,-1.343921139048268154e+00,1.501965330969390555e+00,2.535000809336985794e-01,3.028076896513780980e+00,5.259154006976443085e-01,-2.750521706566591895e+00,4.654549464029312383e-03,2.751077543225023625e+00,2.055147906653134182e-01,-3.275395143267942899e+01,-1.461268350993546861e+01,-4.088421029936423423e+00,2.944826255532363435e-01,1.344662590251826106e-01
4.000000000000000222e-01,7.565665711800252380e-01,2.749035323421236576e+00,-2.040624543946577774e+00,-7.411743685442107044e-01,-1.344000836066375992e+00,1.507164947542617428e+00,2.526485486986029261e-01,3.052671070197277459e+00,4.321730131873168790e-01,-2.846752984018377397e+00,3.523331923748613398e-02,2.850592326609979299e+00,2.202690409249149495e-01,-2.975739942732581511e+01,-1.331105085358221629e+01,-3.713852202105947686e+00,2.915278545693267276e-01,1.202046676687726773e-01
4.020000000000000240e-01,7.570740205564299163e-01,2.755048110735240030e+00,-2.039462650563061530e+00,-7.465838219984917146e-01,-1.344021405261881963e+00,1.512563124591450148e+00,2.518315606658990680e-01,3.076993643068701267e+00,3.331328089829885264e-01,-2.944731001447379093e+00,6.661949905484744472e-02,2.950331998426965363e+00,1.881292472434241692e-01,-2.365413142400101520e+01,-1.059381906873682055e+01,-2.949833435936753290e+00,2.425978590780951405e-01,9.414628069932548526e-02
4.040000000000000258e-01,7.575801818898919571e-01,2.761128505400640698e+00,-2.038491281580190773e+00,-7.521724036382635425e-01,-1.343984643317190475e+00,1.518158614443388066e+00,2.509895964321849360e-01,3.098654739179402817e+00,2.299342828874322842e-01,-3.045969716485416257e+00,9.920483122992558578e-02,3.050491476528912838e+00,1.098612813918133368e-01,-1.348828040143374984e+01,-6.042925467658008643e+00,-1.680248419138456795e+00,1.415023178111611268e-01,5.298473723046495665e-02
4.060000000000000275e-01,7.580839342138399051e-01,2.767347500308592778e+00,-2.037825378266951315e+00,-7.580219916491515164e-01,-1.343895172081421174e+00,1.524046756489683574e+00,2.502811228167434732e-01,3.107815742615817722e+00,1.406290429739452397e-01,-3.137876303785815502e+00,1.323455112881126994e-01,3.134604693005530685e+00,-6.887409482345739908e-01,-3.299999932020792670e+01,-8.971751370000236037e+00,-2.735119397198069624e+00,-1.413623704698865113e+00,-4.647091217816655406e-02
